id,kecamatan_id,name,latitude,longitude
130,9,Kabalan,-7.127514,111.995472
131,9,Kanor,-7.111643,112.035714
132,9,Kedungprimpen,-7.077252,112.068503
133,9,Nglarangan,-7.154667,112.032733
134,9,Palembon,-7.150217,112.02081
135,9,Pesen,-7.155859,112.008886
136,9,Pilang,-7.080062,112.037204
137,9,Piyak,-7.134637,112.004415
138,9,Prigi,-7.096813,112.029752
139,9,Samberan,-7.16031,112.02081
140,9,Sarangan,-7.155565,111.98951
141,9,Sedeng,-7.134784,112.026771
142,9,Semambung,-7.074573,112.02081
143,9,Simbatan,-7.141018,112.002924
144,9,Simorejo,-7.118762,112.044656
145,9,Sroyo,-7.15793,112.043166
146,9,Sumberwangi,-7.114609,112.026771
147,9,Tambahrejo,-7.115202,112.014848
148,9,Tejo,-7.157642,111.998453
149,9,Temu,-7.098298,112.050618
150,10,Bakalan,-7.175173,111.925421
151,10,Bangilan,-7.194195,111.873254
152,10,Bendo,-7.227796,111.883687
153,10,Bogo,-7.163438,111.932873
154,10,Kalianyar,-7.177847,111.897102
155,10,Kapas,-7.199545,111.89263
156,10,Kedaton,-7.201621,111.926911
157,10,Klampok,-7.18119,111.918714
158,10,Kumpulrejo,-7.227198,111.895611
159,10,Mojodeso,-7.191963,111.917968
160,10,Ngampel,-7.164922,111.903064
161,10,Padang Mentoyo,-7.213669,111.888159
162,10,Plesungan,-7.196866,111.920949
163,10,Sambiroto,-7.156754,111.914988
164,10,Sembung,-7.186318,111.879216
165,10,Semenpinggir,-7.18468,111.937345
166,10,Sukowati,-7.181116,111.907535
167,10,Tanjungharjo,-7.206679,111.901573
168,10,Tapelan,-7.204006,111.879216
169,10,Tikusan,-7.175024,111.903064
170,10,Wedi,-7.191816,111.895611
171,11,Batokan,-7.144996,111.615395
172,11,Besah,-7.138772,111.639243
173,11,Betet,-7.148133,111.628809
174,11,Kasiman,-7.131624,111.6303
175,11,Ngaglik,-7.129824,111.615395
176,11,Sambeng,-7.124186,111.627319
177,11,Sekaran,-7.115585,111.648186
178,11,Sidomukti,-7.211636,112.104272
179,11,Tambakmerak,-7.092119,111.663091
180,11,Tembeling,-7.158709,111.645205
181,12,Beji,-7.005631,111.624338
182,12,Hargomulyo,-7.065638,111.636262
183,12,Kawengan,-7.115464,111.669772
184,12,Kadewan,-7.010391,111.6303
185,12,Wonocolo,-7.051715,111.663091
186,13,Babad,-7.330369,112.005905
187,13,Balongcabe,-7.242317,111.996963
188,13,Dayukidul,-7.32988,112.040185
189,13,Drokilo,-7.289842,112.05658
190,13,Duwel,-7.311289,112.032733
191,13,Geger,-7.297937,111.996963
192,13,Jamberejo,-7.254762,112.050618
193,13,Kedungadem,-7.313666,112.035714
194,13,Kedungrejo,-7.230705,112.026771
195,13,Kepohkidul,-7.299403,112.017829
196,13,Kendung,-7.304098,112.074464
197,13,Kesongo,-7.329635,112.0704
198,13,Megale,-7.281551,112.02081
199,13,Mlideg,-7.320187,112.05658
200,13,Mojorejo,-7.274069,112.068503
201,13,Ngrandu,-7.252728,111.991001
202,13,Panjang,-7.341036,112.044656
203,13,Pejok,-7.255926,112.077445
204,13,Sidorejo,-7.280034,112.050618
205,13,Sidomulyo,-7.265475,112.038695
206,13,Tlogoagung,-7.269667,112.005905
207,13,Tondomulo,-7.3553,112.062541
208,13,Tumbrasanom,-7.309765,112.062541
209,14,Balongdowo,-7.1879,112.074464
210,14,Bayemgede,-7.162668,112.074464
211,14,Betet,-7.148133,111.628809
212,14,Brangkal,-7.197094,112.092349
213,14,Bumirejo,-7.165917,112.110234
214,14,Cengkir,-7.218192,112.074464
215,14,Jipo,-7.176442,112.126628
216,14,Karangan,-7.154631,112.134079
217,14,Kepoh,-7.216667,112.083333
218,14,Krangkong,-7.185798,112.116195
219,14,Mojosari,-7.130869,111.80022
220,14,Mudung,-7.168875,112.126628
221,14,Nglumber,-7.181353,112.104272
