"id","desa_id","nama","alamat","latitude","longitude","deskripsi"
"47","196","Polres Bojonegoro","Jl. MH. Thamrin No.46, Klangon, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62113","-7.153354","111.873383","Kantor Polisi"
"48","367","Polsek Sumberrejo","Jl. Raya Sumberejo No.447, Sumberejo, Sumberrejo, Sumberejo, Kabupaten Bojonegoro, Jawa Timur 62182","-7.17661","111.8494533","Kantor Polisi"
"49","104","Polsek Purwosari","Sambong, Purwosari, Bojonegoro Regency, East Java 62161","-7.173049","111.660939","Kantor Polisi"
"50","438","Polsek Ngasem","Jl. Raya Ngasem Bojonegoro 62154","-7.24914","111.763133","Kantor Polisi"
"51","432","Polsek Kanor","Jl. Kanor, Kanor, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62193","-7.09193","112.020828","Kantor Polisi"
"52","439","Polsek Temayang","Jl. Raya Temayang, Gandeng, Temayang, Kabupaten Bojonegoro, Jawa Timur 62184","-7.330734","111.904947","Kantor Polisi"
"53","141","Polsek Baureno","Jl. Masjid No. 354, Kapas, Pasinan, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62192","-7.124345","112.101501","Kantor Polisi"
"54","340","Polsek Kepohbaru","Jalan Raya Kepohbaru No.132, Kepoh, Kepohbaru, Kepoh, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62194","-7.225705","112.089602","Kantor Polisi"
"55","314","Polsek Kedungadem","Jl. Gajah Mada No.27, Kedungadem, Kabupaten Bojonegoro, Jawa Timur 62195","-7.30388","112.046738","Kantor Polisi"
"56","149","Polsek Balen","Jl. Raya Balen No.96, Balen Kulon, Balenrejo, Balen, Kabupaten Bojonegoro, Jawa Timur 62182","-7.194823","111.95243","Kantor Polisi"
"57","440","Polsek Sukosewu","Jl. R.A. Kartini, Sawah, Sukosewu, Kabupaten Bojonegoro, Jawa Timur 62182","-7.264003","111.92143","Kantor Polisi"
"58","141","Polsek Kapas","Jl. Raya Kapas No.79, Kapas, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62181","-7.198034","111.930638","Kantor Polisi"
"59","268","Polsek Sugihwaras","Jalan Raya Sugihwaras, Sugihwaras, Banaran, Sugihwaras, Kabupaten Bojonegoro, Jawa Timur 62183","-7.30503","111.955166","Kantor Polisi"
"60","224","Polsek Bojonegoro","Jl. Lisman No.60, Mlaten, Campurejo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62119","-7.147083","111.901471","Kantor Polisi"
"61","441","Polsek Dander","Jl. Hos. Cokro Aminoto, Madean, Dander, Kabupaten Bojonegoro, Jawa Timur 62182","-7.166885","111.86915","Kantor Polisi"
